Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
SE,ES,COLATINA,RODOVIA GETHER LOPES DE FARIAS,2600,CARLOS GERMANO NAUMANN,29705390,DIESEL,6.05,VIBRA
SE,ES,COLATINA,RODOVIA GETHER LOPES DE FARIAS,2600,CARLOS GERMANO NAUMANN,29705390,DIESEL S10,5.95,VIBRA
SE,ES,COLATINA,RODOVIA GETHER LOPES DE FARIAS,2600,CARLOS GERMANO NAUMANN,29705390,ETANOL,4.19,VIBRA
SE,ES,GUARAPARI,AVENIDA GOVERNADOR JONES DOS SANTOS NEVES,SN,MUQUICABA,29215002,GASOLINA,5.89,IPIRANGA
SE,ES,GUARAPARI,AVENIDA GOVERNADOR JONES DOS SANTOS NEVES,SN,MUQUICABA,29215002,GASOLINA ADITIVADA,6.19,IPIRANGA
SE,ES,GUARAPARI,AVENIDA GOVERNADOR JONES DOS SANTOS NEVES,SN,MUQUICABA,29215002,DIESEL,6.25,IPIRANGA
SE,ES,GUARAPARI,AVENIDA GOVERNADOR JONES DOS SANTOS NEVES,SN,MUQUICABA,29215002,DIESEL S10,6.29,IPIRANGA
SE,ES,GUARAPARI,AVENIDA GOVERNADOR JONES DOS SANTOS NEVES,SN,MUQUICABA,29215002,ETANOL,4.38,IPIRANGA
SE,ES,GUARAPARI,RODOVIA RODOVIA DO SOL,S NR,AEROPORTO,29216705,GASOLINA,5.89,VIBRA
SE,ES,GUARAPARI,RODOVIA RODOVIA DO SOL,S NR,AEROPORTO,29216705,GASOLINA ADITIVADA,6.09,VIBRA
SE,ES,GUARAPARI,RUA DAVINO MATOS,SN,PARQUE AREIA PRETA,29200615,GASOLINA,5.84,ALESAT
SE,ES,GUARAPARI,RUA DAVINO MATOS,SN,PARQUE AREIA PRETA,29200615,GASOLINA ADITIVADA,5.96,ALESAT
